id,Gender,Customer Type,Age,Type of Travel,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Class
70990,0,1,32,0,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10.0,0,Business
101991,0,0,40,1,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0.0,0,Eco
87447,0,1,42,0,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0.0,0,Business
16112,1,1,24,0,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4.0,1,Eco
16172,1,0,22,0,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177.0,0,Business
106558,0,0,28,0,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3.0,1,Business
11536,0,0,36,0,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55.0,0,Eco Plus
47773,0,0,62,0,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90.0,1,Eco
70521,0,0,60,0,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0.0,1,Business
96283,0,0,59,1,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2.0,0,Eco
117993,0,0,49,0,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4.0,1,Business
74703,0,0,44,1,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0.0,0,Eco
110840,0,0,58,1,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0.0,0,Eco Plus
88249,1,1,24,0,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32.0,1,Business
125877,0,0,53,0,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0.0,1,Eco
83968,1,0,56,0,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0.0,0,Eco
122719,0,0,30,0,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0.0,1,Business
3949,1,1,27,0,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46.0,0,Business
45542,1,0,27,0,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0.0,1,Business
43742,0,0,67,1,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0.0,0,Eco
122093,0,0,32,1,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4.0,0,Eco
121454,1,1,36,0,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0.0,0,Eco
738,1,0,44,0,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57.0,1,Business
75235,0,0,70,1,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0.0,0,Eco
88653,0,0,55,1,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3.0,0,Eco
26594,1,0,66,0,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6.0,1,Eco
38339,0,0,19,0,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0.0,1,Business
46063,0,0,53,1,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0.0,0,Eco Plus
27957,1,0,22,0,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0.0,0,Business
17270,0,0,69,1,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0.0,0,Eco
87976,0,0,42,0,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47.0,1,Business
31640,0,0,41,0,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40.0,1,Business
41461,0,0,53,1,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0.0,0,Business
15143,1,0,35,0,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0.0,0,Business
78136,0,0,54,1,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0.0,0,Business
120433,1,0,44,0,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24.0,1,Business
41440,0,1,26,0,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0.0,0,Eco Plus
15963,0,0,44,1,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0.0,0,Eco
64303,0,1,24,0,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27.0,0,Eco
3608,0,0,54,1,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0.0,0,Eco
7744,1,0,42,0,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0.0,0,Eco Plus
21276,1,1,36,0,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0.0,0,Eco
58576,0,0,61,0,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20.0,1,Business
53888,0,0,50,1,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0.0,0,Eco
10980,1,0,27,0,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52.0,1,Business
54151,1,0,55,0,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0.0,0,Business
115641,1,1,21,0,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0.0,0,Eco
58584,0,0,31,1,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0.0,0,Business
50472,0,1,37,0,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20.0,0,Eco
102623,0,0,50,0,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0.0,1,Business
31533,0,0,21,1,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17.0,0,Eco
42287,0,0,53,0,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0.0,0,Eco
70467,1,0,45,0,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11.0,1,Business
20461,0,1,42,0,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34.0,0,Eco
113346,1,0,59,0,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0.0,1,Business
115566,0,0,54,0,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95.0,0,Eco
119896,0,0,46,0,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0.0,1,Business
88853,0,0,52,1,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0.0,0,Eco Plus
24895,0,0,38,1,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0.0,0,Eco
31122,1,0,35,0,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0.0,1,Business
91231,0,0,41,1,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0.0,0,Eco
61426,0,1,40,0,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0.0,0,Business
68873,0,1,36,0,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0.0,0,Eco
125701,1,0,67,1,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0.0,0,Eco
94999,0,0,38,1,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0.0,1,Eco
56694,0,0,50,1,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0.0,0,Eco
62010,1,0,50,0,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0.0,1,Business
95868,1,0,54,0,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66.0,1,Business
123064,1,0,56,0,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113.0,1,Business
103418,1,0,38,1,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2.0,0,Eco
73456,0,0,7,1,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13.0,0,Eco
8851,0,0,32,0,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0.0,1,Business
64241,1,0,45,0,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7.0,0,Eco
81723,1,1,25,0,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24.0,0,Eco
88237,0,0,45,0,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0.0,1,Business
50619,1,0,34,1,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0.0,0,Eco
54444,1,0,20,1,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2.0,0,Eco Plus
64765,0,1,36,0,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6.0,0,Eco
15941,1,1,36,0,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0.0,0,Eco
14965,1,0,27,0,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0.0,1,Business
36897,1,0,40,1,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0.0,0,Eco
127954,1,0,31,0,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4.0,1,Business
27872,1,0,25,0,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0.0,1,Eco Plus
35854,1,0,42,0,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0.0,1,Business
14527,0,0,45,0,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40.0,1,Eco
47021,1,0,59,1,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11.0,0,Business
11224,1,0,34,1,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8.0,0,Eco
3921,0,0,22,1,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17.0,0,Eco
69463,1,0,21,1,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0.0,0,Eco
47050,1,0,26,0,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10.0,0,Business
21970,1,0,37,0,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86.0,1,Business
30046,1,0,38,0,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0.0,1,Business
1256,0,0,17,1,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0.0,0,Eco
73813,1,0,15,1,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8.0,0,Eco Plus
110928,0,0,53,1,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0.0,0,Eco
102981,1,1,39,0,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88.0,0,Business
61571,1,0,40,0,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0.0,1,Business
3796,0,1,28,0,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46.0,0,Eco Plus
73906,0,1,27,0,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0.0,0,Business
74090,0,0,41,0,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0.0,1,Business
76645,0,0,7,1,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0.0,0,Eco
100462,1,1,48,0,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1.0,0,Business
54164,1,0,13,0,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0.0,0,Eco
6147,0,0,48,0,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0.0,1,Business
1262,0,0,49,1,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3.0,0,Eco
20310,1,1,26,0,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0.0,1,Business
46896,1,0,22,0,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0.0,1,Business
7237,0,0,53,0,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178.0,0,Business
44293,0,0,43,0,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0.0,1,Eco
52496,1,0,56,0,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0.0,1,Business
68263,0,0,69,1,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0.0,0,Eco
5289,1,0,59,1,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0.0,1,Eco
109359,0,0,56,0,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0.0,1,Business
94988,1,0,11,1,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0.0,1,Eco
53605,0,0,25,0,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78.0,1,Eco
11005,0,1,29,0,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0.0,1,Eco
14794,0,0,48,0,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0.0,1,Eco
49480,0,0,42,0,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0.0,1,Business
120440,1,1,15,0,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0.0,0,Eco
55823,0,1,49,0,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0.0,0,Business
107792,1,0,41,0,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18.0,1,Business
80531,1,0,43,0,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0.0,1,Business
128145,1,0,60,0,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0.0,1,Business
63370,0,0,42,1,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0.0,1,Eco
12452,0,0,8,1,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0.0,0,Eco
16145,0,0,42,0,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72.0,1,Eco
44418,1,1,18,0,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41.0,0,Eco Plus
95746,1,0,47,0,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0.0,1,Business
41134,0,1,27,0,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12.0,0,Eco
3214,0,0,67,1,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91.0,0,Eco Plus
74101,1,1,38,0,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0.0,1,Business
106220,0,1,20,0,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0.0,0,Eco
88134,0,0,60,0,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0.0,1,Business
64475,1,1,23,0,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1.0,1,Business
123812,1,1,25,0,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0.0,0,Business
88893,0,0,38,0,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0.0,1,Business
31244,0,0,40,0,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4.0,1,Business
97762,1,0,19,1,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0.0,0,Eco
59851,0,0,61,0,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0.0,1,Business
25137,1,0,44,1,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6.0,0,Eco
18412,0,0,22,1,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35.0,0,Eco
87192,0,1,8,0,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0.0,0,Eco
127062,0,0,45,0,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16.0,0,Business
112169,1,0,46,1,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25.0,1,Eco
127798,0,0,54,0,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77.0,0,Business
91778,1,0,62,1,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0.0,0,Eco
42609,0,0,25,0,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0.0,1,Business
67482,0,0,32,1,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0.0,0,Eco
91108,0,0,65,1,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3.0,0,Eco
102318,1,1,40,0,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0.0,0,Business
51281,0,0,30,0,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0.0,1,Eco Plus
6528,0,0,67,1,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0.0,0,Eco
121232,1,0,51,0,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0.0,1,Business
72478,0,0,47,0,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3.0,1,Business
122788,0,0,38,0,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0.0,0,Eco
5528,1,0,54,0,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0.0,1,Business
107726,0,0,57,1,251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4.0,0,Eco
72606,1,0,13,1,1119,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,0.0,0,Eco
75522,0,1,20,0,337,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0.0,1,Eco
125687,0,0,45,0,759,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,94.0,0,Business
79908,0,0,51,0,2344,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0.0,1,Business
117345,1,1,25,0,296,0,0,0,3,2,0,2,2,4,4,4,5,5,2,0,0.0,1,Business
73465,0,0,39,1,1005,1,4,2,3,2,1,5,5,2,4,5,5,4,5,168,163.0,0,Eco
95851,0,0,46,0,580,3,3,3,3,3,5,4,4,4,4,4,3,4,5,18,16.0,1,Business
44992,1,0,53,0,359,1,3,3,3,1,1,1,1,1,2,3,4,4,1,0,0.0,0,Eco
70631,0,0,61,1,1217,0,4,0,1,5,5,5,4,4,0,4,4,4,4,0,0.0,1,Eco
13761,0,0,61,0,384,4,5,5,5,3,3,2,4,4,4,4,3,4,5,96,102.0,1,Eco Plus
74968,1,0,16,1,2586,3,5,3,4,4,3,4,4,5,2,4,5,4,4,45,42.0,0,Eco
12371,0,0,44,0,2903,2,1,1,1,2,3,3,2,2,2,2,3,2,1,0,1.0,0,Business
8378,0,0,17,0,3170,5,5,5,5,5,5,5,5,1,3,3,1,5,5,16,0.0,1,Business
82080,0,0,50,0,1276,2,2,2,2,4,2,3,2,2,2,2,1,2,1,35,49.0,0,Eco
107972,0,1,40,0,825,4,4,4,3,5,4,5,5,5,3,4,3,5,5,0,4.0,1,Business
101228,1,0,47,0,2204,5,5,5,5,4,4,4,2,2,2,2,4,2,3,6,0.0,1,Business
85577,0,0,80,0,3464,1,1,1,1,2,4,4,4,4,4,4,5,4,4,0,0.0,1,Business
2717,0,0,38,1,562,5,3,5,3,4,5,4,4,1,1,3,4,3,4,0,0.0,1,Eco
88529,1,0,31,1,404,5,1,5,3,3,5,3,3,4,2,4,4,4,3,0,0.0,1,Eco
91613,1,0,59,0,1199,4,2,2,2,5,4,4,4,4,4,4,3,4,1,0,15.0,0,Business
88865,0,0,22,0,1968,4,4,4,4,4,4,4,4,1,2,3,4,4,4,0,0.0,0,Business
96960,0,0,53,0,2560,5,5,5,5,5,4,5,3,3,3,3,3,3,3,0,3.0,1,Business
51191,0,0,56,0,308,4,2,2,2,5,3,4,4,4,4,4,5,4,2,0,0.0,1,Eco Plus
9461,0,0,48,1,362,4,4,5,3,2,4,5,3,3,5,3,5,3,4,0,0.0,0,Eco
66384,1,1,38,0,1562,3,3,3,5,2,3,2,2,5,2,5,3,4,2,2,25.0,0,Business
41934,1,0,64,1,129,1,0,1,2,1,1,1,1,3,2,5,4,4,1,13,9.0,0,Eco
25381,1,0,67,1,591,2,4,2,3,5,2,3,5,4,4,4,3,5,5,0,0.0,0,Eco
14757,0,0,62,0,3692,2,2,4,2,3,4,2,4,4,4,4,1,4,2,0,0.0,1,Business
94013,1,0,57,0,1859,1,1,1,1,2,5,5,4,4,4,4,5,4,5,16,15.0,1,Business
80107,0,1,27,0,986,2,1,1,3,1,2,1,1,1,5,1,1,3,1,24,32.0,0,Eco
23590,0,1,25,0,1024,1,1,1,3,5,1,5,5,1,4,4,1,4,5,13,11.0,0,Eco
110384,0,0,52,0,919,3,4,4,4,3,2,2,3,3,3,3,1,3,1,85,72.0,0,Eco
15069,0,0,45,0,576,4,2,2,2,3,1,3,4,4,4,4,5,4,2,0,0.0,1,Eco Plus
17128,0,1,23,0,423,3,3,3,3,1,3,1,1,2,2,3,3,3,1,6,13.0,0,Eco
54060,1,0,55,0,1416,5,2,2,2,5,5,5,5,4,3,5,2,5,5,1,0.0,1,Eco
129240,1,0,53,0,1464,3,2,2,2,5,4,4,3,3,3,3,3,3,3,0,0.0,0,Business
97165,0,0,9,1,715,4,4,4,3,1,4,1,1,5,4,4,4,4,1,11,4.0,1,Eco
111696,1,0,33,0,541,2,2,3,2,4,4,4,4,5,2,5,3,4,4,86,85.0,1,Business
1887,1,1,64,0,293,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,0.0,0,Business
89086,0,1,8,0,2092,2,3,3,3,4,2,4,4,4,3,3,3,3,4,26,23.0,0,Eco
35485,1,0,34,1,1053,4,4,4,1,3,4,3,3,3,2,5,3,5,3,34,15.0,0,Eco
35719,1,0,59,1,2521,1,1,1,3,1,3,5,2,3,3,2,5,2,5,0,2.0,0,Eco
85669,0,0,13,0,2544,3,1,3,3,3,3,3,3,4,3,4,3,3,3,0,0.0,0,Business
1137,1,0,44,1,158,4,4,4,2,2,4,2,2,2,5,1,4,5,2,0,0.0,0,Eco
8358,1,0,54,0,1741,1,1,1,1,4,4,5,4,4,4,4,4,4,3,0,0.0,1,Business
17217,1,0,36,0,2651,4,4,4,4,3,4,4,5,5,5,5,5,5,3,10,0.0,1,Business
44847,0,0,11,1,760,3,5,3,1,5,3,5,5,3,5,5,4,4,5,102,88.0,0,Eco
96673,0,0,32,1,1036,1,5,1,2,5,1,5,5,5,5,5,5,4,5,12,9.0,0,Eco
80152,1,0,42,0,2586,1,3,3,3,1,1,1,3,5,2,3,1,4,1,0,0.0,0,Eco
82277,0,1,27,0,1081,1,1,1,4,2,1,2,2,1,5,3,3,1,2,4,0.0,0,Eco
123927,1,0,33,1,646,2,4,2,3,3,2,3,3,4,1,3,2,5,3,1,0.0,0,Eco
115766,0,0,28,0,308,1,3,3,3,1,1,1,1,3,3,3,3,3,1,0,0.0,0,Business
21134,1,0,44,1,227,4,5,0,1,2,0,2,2,3,4,4,5,5,2,0,0.0,1,Eco
112062,1,1,49,0,1754,3,3,3,3,4,3,5,4,1,4,3,4,4,4,33,28.0,0,Eco
28643,1,0,59,0,2176,2,3,2,2,3,5,2,5,5,5,5,4,5,4,5,0.0,1,Business
108010,1,1,20,0,271,0,0,0,1,1,0,1,1,5,4,4,4,4,1,0,0.0,1,Business
92145,0,0,46,0,1522,3,2,3,3,3,5,4,4,4,4,4,3,4,5,0,0.0,1,Business
115846,1,0,36,0,325,5,5,5,5,5,5,5,5,1,5,3,1,3,5,0,0.0,1,Eco
99685,0,0,62,0,3217,2,2,2,2,5,4,4,4,4,4,4,4,4,5,19,16.0,1,Business
112072,1,0,59,0,1491,3,3,3,3,2,4,4,3,3,2,3,4,3,3,15,14.0,1,Business
119226,0,0,29,1,331,3,4,3,4,3,3,3,3,5,4,2,2,4,3,0,0.0,0,Eco
115925,0,1,41,0,371,2,2,2,1,1,2,1,1,4,4,2,1,1,1,35,30.0,0,Business
